No,Distance_km,RentPrice_M_VND
1,4.06,3.7
2,9.53,2.2
3,7.45,2.6
4,6.19,2.9
5,1.98,3.6
6,1.98,3.8
7,1.05,4.1
8,8.73,2.6
9,6.21,3.0
10,7.23,2.3
11,0.7,4.4
12,9.71,2.0
13,8.41,2.2
14,2.52,4.0
15,2.23,4.2
16,2.24,4.2
17,3.39,3.4
18,5.49,3.1
19,4.6,3.4
20,3.27,3.9
21,6.31,2.8
22,1.83,4.0
23,3.28,3.4
24,3.98,3.2
25,4.83,3.5
26,7.96,2.8
27,2.4,3.9
28,5.39,3.4
29,6.13,3.1
30,0.94,4.1
31,6.27,3.0
32,2.12,4.4
33,1.12,4.2
34,9.51,2.5
35,9.67,1.4
36,8.18,2.7
37,3.39,3.7
38,1.43,4.1
39,7.0,2.8
40,4.68,2.8
41,1.66,4.0
42,5.2,3.3
43,0.83,4.7
44,9.14,2.1
45,2.96,3.6
46,6.79,2.7
47,3.46,3.9
48,5.44,3.2
49,5.69,2.9
50,2.26,4.1
